,0
622,"All my childhood feelings came to the surface yesterday on Twitter when I stumbled on the viral video of a man selflessly scaling a four-storey building in less than 20 seconds to save a child, hashtagged. 
"
623,"According to P K Sherpa, it felt like he ""had conquered the world”.
"
624,"In 2013, the city of Ahwaz, the capital of the region, topped the World Health Organization’s list of most polluted cities in the world. 
"
625,"You can explore further commentary on Akira through the hashtags #アキラ,,, and_Animation_30th_Anniversary. 
"
626,"Eco-Coolers have been installed for free in thousands of homes as a part of corporate social responsibility program in villages in Nilphamari, Daulatdia, Paturia, Modonhati, and Khaleya across Bangladesh. 
"
627,"Used with permission
"
628,"His machine was reportedly replicated in Jordan to help Syrian refugees. 
"
629,"Under the hashtag, there's an initiative to spread scientific news on networks created by scientists of the region. Its objective is to create and expand a network of scientific blogs and to contribute to efforts to spread scientific knowledge. The idea behind Ciencia latina is that this information needs to reach the general public in colloquial, familiar language, so that it can also be part of the discoveries and innovations shared throughout the world. On its blog, Ciencia latina explains: 
"
630,"As part of a two-pronged series of interviews with medical researchers based in Africa (read the first part here), Global Voices reached out to Dr. Shilpa Iyer, who is currently working in Zambia. 
"
631,"2016, Rectory 
"
632,"Sohrai art is the art of the Sohrai (harvest) festival. 
"
633,"Photo by Charles Haynes.
"
634,"He runs another photo project called “Bus Stops,” where he collects pictures of bus stops throughout Russia.
"
635,"After six weeks I developed my first prototype.
"
636,"Moreover, as any parent guiltily knows, screen time (watching television, and using tablets and mobile phones) is probably the cheapest and most reliable form of babysitting available to most moms and dads.
"
637,"Tribhuvan International Airport during it's beginning in 1950's pic.twitter.com/0wiV0DJVzN — Nepal In Pix (@NepalInPix) April 13, 2016 Not only the aviation industry but also road transportation was in its infancy.
"
638,"How Beauty Trends Have Changed in Japan Over the Past 100 Years 
"
639,"Donate now » 
"
640,"She was part of a small audience with whom I shared my entrepreneurial journey.
"
641,"As people were fleeing to refugee camps in Kenya, Ethiopia and elsewhere, many wild animals, especially the Big Five (the African lion, African elephant, Cape buffalo, African leopard, and White/Black rhinoceros), migrated to game reserves in Kenya.
"
642,"The wall of kindness in #Lahore is located near Jam e Shereen Park, Firdous Market.
"
643,"Photo by Humberto do Lago Müller/Mural Agency
"
644,"Image by Faizan Ashraf. 
"
645,"Sonia Narang reported from Nepal with support from the South Asian Journalists Association. 
"
646,"All four spin freely in the wind — but power nothing, says Petrus Lamba Awang, a local representative of IBEKA. Some of the system’s components have broken, he says, and the locals don’t know how to fix them — an example of the challenges of maintaining technologies in a place like Sumba, where there are very few direct routes anywhere.
"
647,"He moved to Scandinavia in his mid-20’s and plays with musicians from around the world at the annual Copenhagen Jazz Festival.
"
648,"'the BEST thing you can do for Morgan is to please SHUT UP' Reacting to Morgan's story posted on the Save the Elephants Facebook page, some readers wondered why the story was not kept secret for the animal's safety.
"
649,"More graffiti in Manacaparu alley. Photo by Tamires Tavares/Mural Agency 
"
650,"His devices are set up in more than 1300 villages of 23 states of India.
"
651,"An owl is a messenger of death, says @iGitz_: 
"
652,"Whatever, I came out ahead. 
"
653,"This painting talks with the famous Sohail artist Pattali Devi community reporter Basanti Soren, who is painting the wall in various types of mud and stone-made small vessels.
"
654,"Red Naped Ibis, Chitwan National Park. Image by Sagar Giri. Used with permission. 
"
655,"Yangon is the country’s main urban center. The need to educate the public about protecting elephants is a major goal of the ""Voices for Momos"" campaign. One of the activities intended to generate public attention was the display of colorful papier-mâché elephant statues all over Yangon. According to local artists, the papier-mâché elephants made out of recycled newspapers were the largest in the world. 
"
656,"AG: Digital media and technology have helped in archiving materials ... at the disposal of younger Wapishana who want to get connected with their cultural heritage. 
"
657,"Picture: Unelkar Maoga
"
658,"Sherpa is the name of a Tibetan ethnic group who are native to the most mountainous regions of Nepal and who are highly skilled and experienced climbers. However, the term has come to be used by non-Nepali people to generally refer to guides or porters working in the Mount Everest area. 
"
659,"The Irrawaddy’s photographer Zaw Zaw got to the top of Mandalay Hill early on January 12, 2016, to await the rising sun. 
"
660,"Those films from the 60s, to me, were a true reflection of the disenfranchisement of people, and the filmmakers who came up in that tradition truly used the moving image to fight against oppression. That realisation moved me to do the same for this era, and for my country, especially as I believe this to be an age of aggressive neoliberal attacks and dwindling spaces for advocacy. 
"
661,"In some parts of Balkan, Grandma March Day is celebrated on the first day of March.
"
662,"Survivors Against TB.Used with Permission
"
663,"If you have, you are not alone. Unusual bookmarks left in used books seems to be a global phenomenon, and a blog post written by someone with the Naver Matomer username of ""Outstanding Individual Talent In 28 Seconds"" (28秒に一人の逸材さん) catalogs what some of these bookmarks look like in Japan. 
"
664,"On this day, July 16th of 1988, Akira destroyed the original Tokyo. 
"
665,"Pampulha Ensemble, Precursor to Brasilia, Gets UNESCO World Heritage Status &middot; Global Voices
"
666,"There are many things that contributed to my development as an entrepreneur, but the most notable to me are the skills I gained throughout the years working for and with others.
"
667,"At least once the earthquake and avalanche are not distracted, this spring will again be crowded to mount the mountains, the courageous and the sectmouth.
"
668,"Despite the wait, they have not lost hope that one day they will be given houses in Armenia. 
"
669,"As we experience the second round of drying up, the future remains uncertain.
"
670,"Other social media users have seen the story as evidence that the country's previous governments failed to support the work of scientists and visionaries like Zara. 
"
671,"Two men were arrested and subsequently admitted that the organs were to be used by witch doctors in Tanzania and Malawi. 
"
672,"Swasthani in photos: The month-long rite of fasting and prayer for husband's long life
"
673,"Furthermore, the minister said that 40% of the satellite’s capacity has already been sold, to be used by national telecommunications operators, while the rest should be hired by other operators in Africa and parts of Europe. Angosat-1 should stay in orbit for 15 years. 
"
674,"This area mainly contributes to Kenya's fruit basket, but we have also seen the lack of rain.
"
675,"“Moscow lost the signal of the Angolan satellite” now there is no porn for anybody 
"
676,"Prime Minister Abe managed to visit flood-stricken areas by Wednesday, July 11, nearly a week after it was apparent Japan was experiencing a major natural disaster. Besides a likely death toll surpassing 200, 70,000 homes across western Japan had been flooded and 2 million people had been forced to evacuate their homes. 
"
677,"How Fukushima, Miyagi and Iwate Are Recovering From the Tsunami.
"
678,"Alex Yakaumo giving a lecture on permaculture in Suriname. Photo courtesy Permacultuur in Commewijne, used with permission. 
"
679,"This photo essay by Chan Son is from The Irrawaddy, an independent news website in Myanmar, and is republished by Global Voices as part of a content-sharing agreement. 
"
680,"In an interview with TubeFilter, Vinod Chandar mentioned that Chu Chu is the nickname of his daughter, Harshita.
"
681,"They are laden with the silver ornaments.
"
682,"Chile, on the other hand, is the leader in protection of intellectual property, holding the greatest number of patents registered per year. 
"
683,"Kaabi continued: 
"
684,"When they go to mainstream school, they communicate this knowledge to other children, even the teachers don't teach them this. Our girls are telling their friends in their class, and they are also interested. 
"
685,"""While I was shooting the documentary, I found myself in a government hospital burn ward,"" says Sharma. ""The things I saw in the ward left me forever changed. 
"
686,"Gomes maintains: 
"
687,"Bitcoin, Tulip and Nigerian market have what similarities
"
688,"Four countries - Macedonia, Bulgaria, Romania and Moldova - submitted a multinational application to UNESCO in 2013 to protect the Grandma March Day custom as intangible cultural heritage of the Balkan people.
"
689,"Kenya should return the remaining Somali Elephants or share 10% of Tourist revenues for 200 years with Somalia.
"
690,"Overseas conservation organisations also celebrated: 
"
691,"It didn't take long before photos of ""Wall of Kindness"" started appearing on social media in China.
"
692,"On World Water Day (March 22) the United Nations Environment Programme (UNEP), in partnership with the Jamaican Government, launched the Jamaica Green Economy Scoping Study in a garden setting at Kingston's Devon House. 
"
693,"If that is the case, then India is far ahead of the rest of the world in being environment friendly.
"
694,"Some talked about the next project, whatever that may be: Go, Panama.
"
695,"Omar Imran describes the announcement as ""historic"":
"
696,"And here they are again, in Jackson Height, New York:
"
697,"It is quite distinctive from a lot of other countries' ,"" she says.
"
698,"You could see people running errands like busy bees. And some were seen coming out of that scene after filling their stomachs with curry marks on their festive clothes. 
"
699,"Mount Everest from base camp one. Image from Flickr by Rupert Taylor-Price CC BY 2.0
"
700,"And in this podcast we are going to be giving you a glimpse of the latest Global Voices summit. 
"
701,"While the public's attention was intensely focused on Zainab's case, in Dijkot, a town of Punjab's Faisalabad, the body of 15-year-old boy Faizan was found in a field. He was also sexually assaulted and then killed.
"
702,"Now that there is news or talk that rice is bad for you, many people will just go to the extreme and stop eating rice.
"
703,"The third man, 34-year-old Ahmed Chenani from Hamidieh city, 30 kilometers west of Ahwaz, died from chronic respiratory problems on the night of January 25, after suffocating from the air pollution blanketing the area. Family members who rushed him to the Golestan Hospital in Ahwaz city, said that the lack of adequate medical facilities and the negligence of medical staff contributed to his death. 
"
704,"Netizen Report: Facebook VP Arrested in Brazil for Refusing to Give Police WhatsApp Data &middot; Global Voices 
"
705,"Being one of the most populated cities in the world &#8212; with the bumper-to-bumper traffic to prove it &#8212; Dhaka also has another identity: the city of rickshaws.
"
706,"In response, the government has shut down schools and declared a public health emergency, but criticism is building that authorities aren't doing enough to solve the situation. 
"
707,"The brewery was reportedly contacted by the Swiss ambassador to Nepal who requested it to take down all online advertisements for the beer. 
"
708,"Shilpa Iyer with her permission 
"
709,"He hijacked a goddamn plane. 
"
710,"King George V noting the killed four tigers and one bear.
"
711,"There have been 11 Zainabs in Kasur last year, we forgot about them after a brief outrage! Now, will we force Police, Govts and Courts to act on the 12th Zainab or forget about this too after a few days and wait for a 13th Zainab to make us angry again? 
"
712,"According to regional tea companies 1000 (US$ 5.50) per working day is impossible. 
"
713,"New toy. Not fun: very necessary.
"
714,"Lago Azu, southern area of the city. 
"
715,"The object's adaptability to different weather conditions and the smart integration of solar panels ensure reliable and efficient energy conversion. 
"
716,"This time in collaboration with my senior, Ma'am Ismat Ali.
"
717,"According to Iranian news agencies, the deterioration of the quality of the brackish, foul-smelling drinking water provided to Ahwazis has resulted in poisoning dozens of Arab residents in the cities of Rofaye and Howeyzeh and Ramez. Meanwhile, the shortage of water for agricultural use has resulted in farmers being driven to the brink of destitution, with crops withering due to the salinity and toxicity of the remaining polluted water supply, which is heavily polluted not only by the dumping of untreated sewage directly into the waterways but by the oil and gas refineries releasing toxic chemicals into them. 
"
718,"One Twitter user suggested that Museveni was speaking to leaders in South Sudan, where troubling violence has erupted:
"
719,"Carandiru, northern São Paulo
"
720,"A tour around some of the archeological findings of the expansion of the Panama Canal, such as bottles, weapons...
"
721,"Japanese, British sentries in city of Tianjin, north #China, 1939.
"
722,"The lack of political will for child protection, lack of childhood and child-based education reduces the instability of the society, and the underlying women's qualities in Pakistan are worsening this situation.
"
723,"Myanmar, formerly known as Burma, was under military dictatorship for more than 50 years until it transitioned to constitutional democracy in 2010. During the military rule, Myanmar largely remained detached from the rest of the world, preserving a unique culture and way of life. Last year, the opposition defeated the military-backed party in a historic election that could usher in a new era in Myanmar society. 
"
724,"After that we went to spread white butterflies in other departments. Image from the Facebook page of the White Butterfly project.
"
725,"Guaianases, eastern São Paulo
"
726,"1.No port at Goat Island 
"
727,"This article by Isis Madrid originally appeared on PRI.org on April 1, 2016, and is republished here as part of a content-sharing agreement.
"
728,"In spite of the harsh conditions and deaths happening every year during ascents, people never seem to get over the thrill associated with climbing Everest. 
"
729,"By Flickr user Cheng-en Cheng. License: Attribution-ShareAlike 2.0 Generic. 
"
730,"Other winners included Techweez for Best Technology Blog; Ben Kiruthi for Best Photography Blog; They Call Me Daktari for Best New Blog; and Mummy Tales for Best Topical Blog.
"
731,"All this is a huge price to pay, especially for the indigenous Ahwazi Arabs, who are still denied all but the most menial jobs in sugarcane and oil—the two industries wreaking havoc on their home region‚—while ethnic Persians are brought in from other parts of Iran and offered high wages and modern, purpose-built housing in segregated settlements. Despite being natives of the wealthiest region in Iran in terms of resources, the majority of the Ahwazi people live in medieval conditions under a de facto apartheid system. 
"
732,"A Brahman man performing morning prayers (1851). Day and Son Lithography. Photo from The New York Public Library Digital Collections. 
"
733,"Energy-efficient school benefits from better insulation and solar energy 
"
734,"Image on Flickr by user Dan Doan (CC BY-NC-ND 2.0).
"
735,"The idea behind Ciencia latina is that this information needs to reach the general public in colloquial, familiar language, so that it can also be part of the discoveries and innovations shared throughout the world.
"
736,"First contact the #M7Challenge wealth creation team &#x1f61d;&#x1f61d; pic.twitter.com/Jzrh3H2d1q — Rosebell Kagumire (@RosebellK) July 12, 2016
"
737,"Mira Rai, Trail Runner from Nepak. Image by Flickr user rpb1001. 
"
738,"Today is the first day of a pre-festival film workshop in Keerom regency Papua (after last week in Jayapura) organized by the community. 
"
739,"Yakaumo says he never pressures people to learn about the permaculture lifestyle; rather, he waits until they are ready to receive its principles &#8212; and from there, the education begins. 
"
740,"""Talk about sexual abuse - Break the taboo"" Students, teachers, media persons and activists all gathered today at Karachi Press Club demanding protection for children through awareness and strict implementation of laws. 
"
741,"Waiting for the level crossing gates to pull back up gives some a chance to observe their surroundings more closely.
"
742,"We have a responsibility to ensure whoever gets in the womb next gets a better place to spend the rest of his or her life when they are born.
"
743,"Once past this dangerous section though, climbers then navigate through Camp 1, Camp 2 and Camp 3 until they finally reach Camp 4 at 8,000 m - otherwise known as the ""death zone"". 
"
744,"And other times, Aoyagi provides virtuoso performances that more resemble abstract art. In this tweet, Aoyagi challenges herself to write a 108-stroke abstract form made up of different kanji elements. 
"
745,"A Hindu marriage.
"
746,"As local authorities struggle to rescue stranded residents and restore basic services such as municipal water supplies, Japanese are increasingly demanding answers as to why the death toll is so high and why the central government seemingly reacted so slowly to the disaster. 
"
747,"Local Buy-In
"
748,"Recently Discovered Rock Paintings May Change Machu Picchu's History as We Know It &middot; Global Voices
"
749,"In many parts of Africa and Asia, the mainstream concept of beauty is often associated with lighter-skinned woman.
"
750,"Within hours of publishing a post, C.Y. Leung’s page was flooded with more than 54,000 angry emojis.
"
751,"But that’s only half of the story when it comes to the President of the Philippines Rodrigo Duterte. 
"
752,"Kabakrou soap by Narcisse Ehui Ble  The soap can be sold in bulk or on a per unit-basis in several cities of Côte d'Ivoire as well as in neighboring countries of Mali and Burkina Faso. 
"
753,"Following the move, 580 more social media accountswere shut down by the CAC, including those of several celebrity bloggers, for “misleading the public” or “violating regulations.”
"
754,"Kami Rita Sherpa, 48, has climbed Mount Everest the most number of times by any human in the world. Image used with permission. 
"
755,"Noone speaks.
"
756,"According to Minister of State Carvalho da Rocha, the telecommunications operators of Angola spend, together, between 15 and 20 million US dollars each month in renting space on other satellites for the region. 
"
757,"Some operators will shift to the north, quietly, or in some case loudly, saying it is safer.
"
758,"The Kahoku Shimpo reports that as of December 2015, 77 per cent of planned replacement housing (災害公営住宅, saigai kouei juutaku) has been completed in Fukushima, Miyagi and Iwate prefectures. Of the three prefectures Miyagi has experienced the most success, with 80 per cent of planned replacement housing completed. 
"
759,"Aysha bint Abdulaziz shares photographs which may have been taken earlier in the day of sheep and camels in the snow: 
"
760,"Jamaica is one of the most heavily indebted countries in the world, with 90 percent of its current energy needs dependent on imported petroleum. 
"
761,"House cats love the kotatsu, too, and can often be found snoozing under the table, inside the blanket, close to the electric heater. 
"
762,"Nepalese Hindu devotees take holy water from the Bagmati River during the Swasthani Vrata Katha. Image by Archana Shrestha. Used with permission. 
"
763,"After doing this, we see the average amount of years someone can expect to live in bad health: “Bad Health Years.” Bad Health Years are the years you live with diseases and disabilities. 
"
764,"My country is sleeping.
"
765,"On freedom: 
"
766,"These passenger vehicles, which are pedaled by a driver, are everywhere in Dhaka. There are an estimated 600,000 rickshaws in the city, though less than 100,000 are licensed. 
"
767,"On its blog, Ciencia latina explains:
"
768,"Get out the bikes, we don't have to live in #Medehollín.
"
769,"RW:There is amazing potential. There is need for dedicated science education starting at all ages. Social sciences, computer sciences, big data, outer space exploration, healthcare (non-communicable and Infectious diseases), and traditional medicine efficacy will pay off big. 
"
770,"People are lined up quite politely behind a horse.
"
771,"Today, I and many in Kenya have become familiar with newspaper headlines that read: ‘Starvation Claims 14 Lives’; the Governor of Samburu declared a state of emergency as 60% of the locals face food insecurity. His exact words were: ‘We will not survive this drought’.
"
772,"Singapore’s Health Promotion Board (HPB) is urging people to eat healthier varieties of rice because it claims white rice could be worse than sugary drinks as a potential cause of diabetes. 
"
773,"For example, the ""Village Facebook"" of Kon Dine Gyi succeeded in generating subsidies for an education program.
"
774,"“We are losing young lives due to pest diseases, malnutrition and famine. 
"
775,"Ismat Ali and Maria Waqas, teachers at Bahria College in Karachi, announced plans to set up their own wall of kindness:
"
776,"Some say that he appears on the 1,000 peso bill.
"
777,"However, as Saraswathi’s story shows, the wages she earns are nowhere near enough to bear the costs of providing for her family, and increasingly, the younger generation of estate workers are forced to leave and look for work elsewhere. 
"
778,"Water rationing in Yangon. Photo by Hein Htet / The Irrawaddy 
"
779,"In the afternoon, the communities bring the material together, twisting the narrow strands into thick ropes &#8212; four for the floor of the bridge, and two for the railings. 
"
780,"More graffiti in Manacaparu alley.
"
781,"But as a video produced by a Kazakhstan-based creative collective creative Photosafari.KZ shows, there is much more to the region than that, particularly if you are on two wheels.
"
782,"It is also an increasingly popular theme in fashion, with rickshaw motifs now found on saris, shalwar kameez and kurtis.
"
783,"Some communities in Kenya, Ethiopia, South Sudan, Tanzania and Somalia are still recovering from previous El Niño events; particularly the one of 1997-1998 which left victims estimated at 2,000 people and triggered widespread animal disease outbreaks. 
"
784,"But that same area was one of the most lawless, under the control of the militant group Al Shabaab before they were removed by Somali government forces backed by Kenya.
"
785,"As an IT professional you are always solving problems, whether it's infrastructure acquisition and deployment or software implementation and development. There are many things that contributed to my development as an entrepreneur, but the most notable to me are the skills I gained throughout the years working for and with others. Academia played a small role in my journey and I found training from entrepreneur-targeted workshops was more impactful. 
"
786,"We will never have enough money to clean drains and gullies at the rate that garbage is dumped in them. 
"
787,"Winner of many national photo competitions, Shrestha told Global Voices: “The butterfly habitat is decreasing day by day due to increasing human population.” 
"
788,"Text and video by Christina Soloyan and Davit Avetisyan. 
"
789,"Iran: Where it all began 
"
790,"She joined up in hopes of finding a better life for her and her siblings. 
"
791,"This post by Todd Reubold was originally published on Ensia.com, a magazine that highlights international environmental solutions in action, and is republished here as part of a content-sharing agreement. 
"
792,"Luísa Nunes, a student of the university, remembered on Twitter that this was the sixth major fire in UFRJ's buildings since 2011. 
"
793,"Japanese media was no exception.
"
794,"The archaeological treasures found in the historic ""trash"" of the Panama Canal.
"
795,"GV: In your opinion, what is the potential in scientific research in Africa? What should it focus on and how we can help its development? 
"
796,"GV: Do technological tools benefit language preservation? 
"
797,"Some of the regional flavors of Biryanis in Pakistan include Sindhi Biryani, Punjabi Biryani, Bohri biryani, Afghani Biryani, or the traditional Mughlai Biryani or Hyderabadi style Biryani. 
"
798,"(The doodle features cryptic, nonsensical Japanese) Tweet: I bought a book and can feel the madness contained within. 
"
799,"Earlier this month, the New York Public Library released more than 180,000 digitized items in the public domain. 
"
800,"However, the Kahoku Shimpo also reports that nearly half of people in coastal settlements feel that earning a livelihood has gotten tougher since the disaster. 
"
801,"Dhanesh,Chitwan.Image by Sagar Giri.Used with permission. 
"
802,"Nepalese Hindu women observe a fast and pray to goddess Swasthani and god Madhav Narayan for longevity of their husbands and family prosperity during the month-long festival.
"
803,"The men were not allowed to leave the trenches for any purpose. Here they had to watch and wait, eat, sleep and drink. The filth was sickening, the cold intense, and a bursting Russian shell might at any moment maim or kill them, while it was certain death to show a head above the protecting wall of the trench, only fifty or a hundred yards from the muzzle of a Russian sharpshooter's gun.
"
804,"Rai pulls trophies from a glass case at her house in Kathmandu. 
"
805,"How Evacuees from Fukushima Prefectural Are Faring 
"
806,"I ask: 
"
807,"This has been our 'end game' for many years but that dream almost vanished in 2013 when the area was on the verge of being handed over to Chinese interests for development. 
"
808,"Local people have been unable to irrigate themselves, even now food expectations are inevitable.
"
809,"Rosaly Lopes doing research in Vanuatu in the Pacific. Photo: personal archive, published with permission. 
"
810,"Sagar aspires to work with the government to get Nepal's nature recognized worldwide and wants to create awareness that wild animals are not fearsome as they look. And he should know  he's had encounters with tigers: 
"
811,"ActionAid has facilitated the drafting of more than 500 books across Myanmar, and 129 of these books have matching ""Village Facebook"" pages. 
"
812,"“It's sad that everybody says mountain racing is a sport, but in my own country, the government doesn’t recognize it,"" she says. 
"
813,"Most of them belong to the Kurmi community and live in Hazaribagh. 
"
814,"Graffiti signed by Kbelo.
"
815,"According to that description: see it as a means of strengthening their social links and not simply as a transport route. 
"
816,"""Goat Islands to be declared a Wildlife Sanctuary, JET celebrates""...Meanwhile in the Hellshire Hills...#iguanaparty
"
817,"Photoshopped photos to show that Waste has ruined Myanmar's famous sites
"
818,"Men and Women in India (1876–1888).
"
819,"The images provide a fascinating glimpse into the world of the 1930s, and point out how, for much of the decade, Japan interacted and collaborated with Western powers while at war in China. 
"
820,"My parents believed that the best gift they could ever give me is to help people in need. 
"
821,"The king himself killed 8 rhinoceros, 21 tiger and 1 bear. 
"
822,"Major European companies buy cocoa beans or cocoa bean paste from Cote d'Ivoire cocoa factories to produce chocolate. 
"
823,"Yangon residents have to adjust to the increased temperatures and water shortages brought by the El Niño weather pattern.
"
824,"From predictions that malaria and dengue fever will spread quickly once the temperature rises a few more degrees, to the even more devastating thought that the main island of Honshu will become uninhabitable unless the population is cloistered in perpetually air-conditioned buildings, perhaps the most common response in Japan is to maintain a stubborn reticence, or to shrug one’s shoulders and utter the hackneyed phrase shikataganai (there’s nothing to be done). 
"
825,"The video below is from 1936 and had remain unseen until now.
"
826,"Alex Yakaumo with members of the Commewijne community at a workshop. Photo courtesy Permacultuur in Commewijne, used with permission. 
"
827,"The sentence, ""Spirits up... Because we are made of dreams of whatever size we want,"" is from Mano Money, a rapper also from Grajaú.
"
828,"2. Use the tools you already love and use—Snapchat, Facebook, Twitter?—and host a live session on social media where you invite a guest to narrate a story or teach you a traditional game of their community, and record the session. 
"
829,"Instead, he encouraged people to take precautions against getting bitten and to ensure that their homes are not breeding grounds for mosquitos.
"
830,"While there is serious criticism about hosting the Olympics in August due to high temperatures and humidity, Abe's Liberal Democratic Party (LDP) has vowed to maintain the status quo, because changing the timing of the summer games could have adverse economic effects in Japan. 
"
831,"At the crossing waiting for the train to go by. 
"
832,"Mostly composed of impure coal, crushed, and generally dark in colour or blackish resulting from the incomplete combustion of a material (wood, coal, etc).
"
833,"Found in Miyamidori Park. This used to be in Japan's spookiest park which is now closed. 
"
834,"“The government has not put a lot of effort into making this possible,” says Ndapangadung.
"
835,"NAST is an advisory body in the Philippine government that deals with science and technology.
"
836,"Indian YouTube star The Techy Tantrika uploaded this video in support of the campaign, sharing some of her own struggles. 
"
837,"I saw a photo of him published on Facebook and I immediately said, 'this is not Mered,' said the young man. 
"
838,"Condolences pour in for the late writer
"
839,"Adrienne Hesford wrote:
"
840,"The word “biryani” comes from the Persian word “birian” which means “fried before cooking.” 
"
841,"GV: Icarus was created by Carl Sagan and he was the editor of it for some time. Did he become one of your references? 
"
842,"Wall of a school in Guarulhos. Photo by Jéssica Souza/Mural Agency 
"
843,"I can no longer hear the chirping of the swallows. 
"
844,"Except these photos, some concrete remembrances from that time are to be examined.
"
845,"This article by Zaw Zaw is from The Irrawaddy, an independent news website in Myanmar, and is republished by Global Voices as part of a content-sharing agreement. 
"
846,"The network and its news can also be followed at RedLBC's Twitter account and the hashtag #CienciaLatina.
"
847,"August 15 marked the 72nd anniversary of the end of the Second World War. On the occasion, Japan remembered the 2.3 million Japanese military personnel and military employees and 800,000 Japanese civilians who died between the start of the Second Sino-Japanese War in 1937 and the end of World War II in 1945. 
"
848,"Tell me if I don't look good. 
"
849,"Entitled “Join Japan and act now to save our planet”, Abe's piece invited readers to start tackling climate change, even as his administration paradoxically moved ahead to set up hazardous coal-fired power stations. 
"
850,"Photo for illustrative purposes only. 
"
851,"Rickshaws came to Bangladesh in the early 1930s.
"
852,"On the ground, this translates to a violation of the rights of indigenous communities. 
"
853,"Since Sir Edmund Hillary and Tenzing Sherpa (Sherpas are an ethnic community from the Himalayas) first made the climb to the top of Everest, 4,093 people have reached the peak an astounding 7,001 times.
"
854,"I love myself.
"
855,"The lack of bins or infrequent garbage collection is no excuse for dumping our waste in the streets or in gullies. At the same time, the state must also take a lead role in improving the way our towns and cities are managed, with better solid waste infrastructure, preservation of green spaces and enforcement of planning laws and regulations. 
"
856,"Ingersoll, who is mostly remembered today for his stereographic scenes of the United States at the turn of the last century, managed to document daily life behind Japanese lines in a series of about one hundred images. 
"
857,"It fell in 1989. 
"
858,"Image license: Attribution 2.0 Generic (CC BY 2.0). 
"
859,"On June 26, 2016, a day that Panama's President Juan Carlos Varela described as ""historic for the nation,"" the expansion of the Panama Canal on the Atlantic Panamanian coast was inaugurated in the capital and in several provinces amidst national flags and the sound of music played by students and bands.
"
860,"Rickshaw paintings have also been used as protest. The art is not limited to just rickshaws, either. 
"
861,"For the past few decades Kenyans have been longing for change, change in government practices, change in development strategies, change in national issues. Now, our country is experiencing a different kind of change in the near horizon. Drastic, unexpected change; change we were not looking for: climate change. 
"
862,"Used under a Creative Commons license. 
"
863,"I started using ""Zoya"", which is liked by the locals, after looking at the advertisements about it.
"
864,"A few miles away, a group of Nepali girls say the same thing about Mira Rai. 
"
865,"Indeed we would have been thankful.
"
866,"There are an estimated 600,000 rickshaws in the city, though less than 100,000 are licensed.
"
867,"For the first time in history, Southern Bhoyi river located in Bhoyi County has dried.
"
868,"""please don't be Lebanese"" 
"
869,"Even in the face of undeniable climate change in Japan, the Abe administration’s agenda is unwaveringly fixed on the 2020 Tokyo Olympics, constitutional reform, and, of course, economic growth. 
"
870,"Why yes son I want to watch the same thing again for the millionth time...#momneedsabreak #chuchutv #saveme — MamaShelby (@scossey1990) June 6, 2016
"
871,"The extreme weather was not connected with any storm system, but the local Meteorological Office noted: 
"
872,"On leadership: 
"
873,"Fortunately, it worked out, but it was a risk, because I knew what I wanted. My father said that the most important thing life was to have a passion, go after it and don’t give up. 
"
874,"The wall of kindness has arrived at the bakery of kindness. 
"
875,"Selat Pandan and Sentosa Island, Singapore.
"
876,"Attempts to bypass this common and time-consuming obstacle are often more hassle than waiting.
"
877,"While the town takes center stage in Natsume Sōseki's 1906 novel Botchan (坊っちゃん), one of Japan's most famous pieces of literature, the main public bathhouse at Dogo Onsen has inspired the bathhouse in animated movie Spirited Away. 
"
878,"The persecution of people with albinism has been reported in other countries in Southern Africa, in particular neighbouring Tanzania.The government has been developing campaigns to combat superstition and prejudice and arresting suspects. 
"
879,"But Sharma still experiences ageism. 
"
880,"The writer Richard Seah raised a similar point:
"
881,"Climbers capturing their moment of glory at the summit. Used with permission. 
"
882,"P K Sherpa poses for a picture at the Khumbu Icefall.
"
883,"Holboellia latifolia.Image by Flickr user peganum. 
"
884,"Parents often find it difficult to provide the meals required for children under the government’s stipulated school-feeding plan; the roti (bread) they eat regularly has almost no nutritional value, but is frequently the only thing they can afford. 
"
885,"But there seemed to be no consensus in the Japanese media about how to translate the President's vulgarity. 
"
886,"Shreesha Duwal doing chores at the temporary camp in Bhaktapur where she and her family moved after their house was destroyed in the 2015 earthquake in Nepal.
"
887,"Nishinippon Shimbun, a major daily based in Fukuoka that serves western Japan, also noted: 
"
888,"It doesn't make sense to me.""
"
889,"For Stunning Glimpses of 20th-Century Nepal, Check Out 'Nepal in Pix' on Twitter &middot; Global Voices
"
890,"Wikipedia for farmers, or as its founder describes it, “Internet for people without Internet.” 
"
891,"Summiting Everest? It's just like another daily chore,&#34; says Kami Rita Sherpa, 21 times Everest summiteer. &#34;These days we've technology and weather forecasting service which has made climbing Everest much easier. These days only those die who don't listen to their Sherpa guides. Otherwise, if you have will power and commitment, you too can do it!  
"
892,"Nepalese Hindu devotees offer prayers before taking holy dips at Sali Nadi (River) during Madhav Narayan festival in Sankhu, Nepal. 
"
893,"“There were 20 houses here, all 20 of them have been destroyed,” she says. 
"
894,"Meme makers are getting quicker and sharper in wit. “The satellite used a Movicel chip, that’s why it lost connection” ; “The satellite was found somewhere in Kwanza-Sul , it destroyed the vehicles of the soba and the administrator” 
"
